SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudofirmus	BACTERIAL	Bacillus pseudofirmus  OF4	OF4	NA		Bacillus pseudofirmus OF4	NA		Gi03032	NA	Genome	incomplete	Public	Allegheny-Singer Research Institute	NA		NA		NA		 	NA	398511	28811	NA		003771_GCAT	NA		NA	20318	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	soil in New York State by alkaline enrichment cultures	NA		NA	USA	NA	New York State	NA		NA		NA		NA		NA		NA		NA		NA		Facultative	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	None	Soil	NA		Motile	Alkaliphile	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI. Incertae Sedis	Finegoldia	Finegoldia magna	BACTERIAL	Finegoldia magna  ATCC 29328	ATCC 29328	NA		Finegoldia magna ATCC 29328	ATCC 29328	No	Gc00725	NA	Genome	Complete and Published	Public	Wakayama Medical University, Kyushu Univ, Kitasato Univ	JSPS	Goto T	t-goto@wakayama-med.ac.jp	NA	FMG	2008-02-29	DNA Research 15, 39-47	Medical, Human Pathogen	334413	18981	NA		003772_GCAT	NA		NA	265948	641522627	NC_010376	Complete	NA		NA		NA	Phred/Phrap/Consed	NA	GenomeGambler 1.51, CRITICA, GeneHacker, Glimmer 2.0	NA	1797	1933	1	1	32.3	Sanger	Japan	abdominal wound	NA		NA		NA		NA		NA		Homo sapiens	NA		NA		NA		NA		NA		NA	Anaerobe	Coccus-shaped	NA		Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Endocarditis, Opportunistic infection	Host, Human skin	NA		NA		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	BACTERIAL	Clostridium botulinum  BoNT/A2 Kyoto-F	BoNT/A2 Kyoto-F	NA		NA		NA	Gi03033	NA	Genome	incomplete	Public	Los Alamos National Laboratory, DOE Joint Genome Institute	DOE, NIH-NIAID, DoD	Brettin T	brettin@lanl.gov	NA		NA	 	Biothreat, Medical, Human Pathogen	536232	NA		NA	003773_GCAT	NA		NA		0	NA	Draft	NA		NA		NA	Phrap	NA	Critica, Glimmer 2.0	NA	0	0	NA		0	Sanger	USA	case of infant botulism in Kyoto, Japan in 1978	NA		1978	Japan	NA	case of infant botulism in Kyoto, Japan in 1978	35.011636	135.768029	NA		Homo sapiens	NA		NA		NA		NA		NA		NA	Obligate anaerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Chains, Pairs, Singles	Botulism	Soil	35 - 40	NA	Motile	Pathogen	Chemoorganotroph
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	BACTERIAL	Clostridium botulinum  Ba4 657	Ba4 657	NA		Clostridium botulinum Ba4 str. 657	NA		Gc01001	Gi03034	Genome	Complete and Published	Public	Los Alamos National Laboratory, DOE Joint Genome Institute	DOE, NIH-NIAID, DoD	Brettin T	brettin@lanl.gov	NA	CLJ	2009-05-01	Unpublished 	Biothreat, Medical, Human Pathogen	515621	29077	NA		003774_GCAT	NA		NA		643692017	NC_012658	Complete	Level 6: Finished	NA		NA		Phrap	NA	Critica, Glimmer 2.0	NA	2977	3785	1	2	28.2	Sanger	USA	Infant botulism case in Texas in 1976	Theresa Smith, theresa.smith@amedd.army.mil	NA	1976	USA	NA	Texas	NA		NA		Homo sapiens	NA		NA		NA		NA		NA		NA	Obligate aerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Chains, Pairs, Singles	Botulism	Soil	35 - 40	NA	Motile	Pathogen	Chemoorganotroph
Bacteria	Actinobacteria	Actinobacteria (class)	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	BACTERIAL	Bifidobacterium animalis lactis  HN019	HN019	NA		Bifidobacterium animalis subsp. lactis HN019	NA		Gi03035	NA	Genome	incomplete	Public	Fonterra Research Centre	NA	Collett MA	michael.collett@fonterra.com	NA	BIFLAC	NA	 	Medical	486409	28807	NA		003775_GCAT	NA		NA		641736235	NZ_ABOT00000000	Draft	NA		NA		NA	Blac 1.0	31x	NA		1915	1687	NA		60.5	NA	New Zealand	NA		probiotic strain	NA		NA		NA		NA		Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	Feces	NA		Anaerobe	Rod-shaped	NA		Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	None	Human intestinal microflora, Host	NA		Nonmotile	Probiotic	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha	Oligotropha carboxidovorans	BACTERIAL	Oligotropha carboxidovorans  OM5	OM5	NA		Oligotropha carboxidovorans OM5	ATCC 49405, DSM 1227	Yes	Gc00876	Gi03036	Genome	Complete and Published	Public	Mississippi State Univ	NA	Lawrence ML	lawrence@cvm.msstate.edu	NA	OcarO	2008-10-22	J. Bacteriology 190, 5531-5532	NA	504832	28805	NA		003776_GCAT	NA		NA		643348567	NC_011386	Complete	NA		NA		NA		27x	Glimmer	NA	3745	3651	1	0	62.4	454	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	NA		NA		NA	Chemolithoautotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	BACTERIAL	Yersinia pseudotuberculosis  PB1/+	PB1/+	IB	NA	Yersinia pseudotuberculosis PB1/+	NA		Gc00776	Gi03038	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Nikolich M	Mikeljon.Nikolich@NA.AMEDD.ARMY.MIL	NA	YPTS	2008-04-25	Unpublished 	Medical, Human Pathogen	502801	28745	NA		003777_GCAT	NA		NA	74815	642555171	NC_010634	Complete	NA		NA		NA		NA		NA	4695	4334	1	1	47.5	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastroenteritis	Host	NA		Motile	Pathogen	Heterotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	NA	BACTERIAL	Yersinia pseudotuberculosis  YPIII	YPIII	O3	NA	Yersinia pseudotuberculosis YPIII	NA		Gc00739	Gi03039	Genome	Complete and Published	Public	Los Alamos National Laboratory, DOE Joint Genome Institute	DOE	Nikolich M	Mikeljon.Nikolich@NA.AMEDD.ARMY.MIL	NA	YPK	2008-03-11	Unpublished 	Medical, Human Pathogen	633	28743	NA		003778_GCAT	NA		NA	261941	641522661	NC_010465	Complete	NA		NA		NA		NA		NA	4689	4396	1	0	47.5	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Gastroenteritis	Host	NA		Motile	Pathogen	Heterotroph
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Gut microbiome  of Mouse	of Mouse	with Diet-Induced Obesity	NA	Gut Microbiome of Mice with Diet-Induced Obesity	NA		Gm00128	NA	Metagenome	incomplete	Public	Washington Univ	NIH	Gordon JI	jgordon@wustl.edu	NA		NA	 	Medical	410661	28755	NA		003780_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Cecal contents of seven wild-type C57BL/6J mice fed different types of diets	NA		NA		NA	Cecal contents of seven wild-type C57BL/6J mice fed different types of diets	NA		NA		Mus musculus	10090	NA		NA	Diet-Induced Obesity	NA		Gastrointestinal tract	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		None	Host, Mouse Gut	NA		NA		
Bacteria	Elusimicrobia	Elusimicrobia (class)	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	Elusimicrobium minutum	BACTERIAL	Elusimicrobium minutum  Pei 191	Pei 191	NA		Elusimicrobium minutum Pei191	NA		Gc00773	Gi01567	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Brune A	brune@mpi-marburg.mpg.de	NA	Emin	2008-05-02	Appl Environ Microbiol. 75, 2841-9	Bioenergy, Tree of Life, Biotechnological	445932	19701	NA		001008_GCAT	NA		NA	278595	642555127	NC_010644	Complete	NA		NA		NA		NA		NA	1643	1596	1	0	39	NA	USA	Pachnoda ephippiata	NA		NA		NA	Pachnoda ephippiata	NA		NA		NA		NA		NA		NA		NA		Gut	NA	Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram-	Symbiotic	Endosymbiotic intracellular	NA	Protists	NA		None	Termite gut, Host	NA		NA	Biomass degrader	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia albertii	BACTERIAL	Escherichia albertii  TW07627	TW07627	NA		Escherichia albertii TW07627	NA		Gi03041	NA	Genome	incomplete	Public	J. Craig Venter Institute	NA	Sutton GG	gsutton@jcvi.org	NA	ESCAB	NA	 	Medical, Human Pathogen	502347	28851	NA		003781_GCAT	NA		NA	264395	641736163	NZ_ABKX00000000	Draft	NA		NA		NA		6.89x Sanger, 23.37x 454	NA	64	4698	4889	NA		49	454, Sanger	USA	Cases of diarrhea in children in Bangladesh	NA		NA	Bangladesh	NA	Cases of diarrhea in children in Bangladesh	NA		NA		Homo sapiens	NA		Child	NA	Patient with diarrhea	NA		Gastrointestinal tract	Feces	NA		Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles, Pairs	Diarrhea	Host	NA		Nonmotile	Pathogen	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	BACTERIAL	Acinetobacter baumannii  AYE	AYE	NA		Acinetobacter baumannii AYE	NA		Gc00732	NA	Genome	Complete and Published	Public	Genoscope	NA	Genoscope	seqref@genoscope.cns.fr	NA		2008-02-26	PLoS ONE 3, e1805	Medical, Human Pathogen	509173	28921	NA		003787_GCAT	NA		NA		641522602	NC_010410	Complete	NA		NA		NA		NA		NA	3936	3903	1	4	0	NA	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Aerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	Pneumonia, Nocosomial infection	Host, Fresh water	NA		Nonmotile	Pathogen	Heterotroph, Chemoheterotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae	BACTERIAL	Xanthomonas oryzae pv. oryzae  PXO99A	PXO99A	pv. oryzae	NA	Xanthomonas oryzae pv. oryzae PXO99A	NA		Gc00778	Gi03042	Genome	Complete and Published	Public	J. Craig Venter Institute, Univ of Maryland - CDCB	USDA, NSF, NIH	Salzberg S	salzberg@umd.edu	NA	PXO	2008-05-19	BMC Genomics 9, 204	Plant Pathogen, Agricultural	360094	28127	NA		003782_GCAT	NA		NA	302284	642555170	NC_010717	Complete	NA		4.5 Kb, 10 Kb	NA		Celera Assembler	NA	Glimmer 3	NA	5240	5048	1	0	63.6	NA	USA	"5-azacytidineresistant derivative of PXO99, isolated in Los Baqos and classified as Philippine race 6"	NA		NA	Philippines	NA	5-azacytidineresistant derivative of PXO99, isolated in Los Baqos and classified as Philippine race 6	NA		NA		NA		NA		NA		NA		NA		NA		Aerobe	Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Rice blight	Host	NA		Motile	Pathogen	
Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	NA	EUKARYAL	Homo sapiens  Nigerian male	Nigerian male	NA		Homo sapiens	NA		Gc00893	Gi03043	Genome	Complete and Published	Public	Illumina Inc.	NA	Bentley DR	dbentley@illumina.com	NA		2008-11-06	Nature 456, 53-9	Medical	9606	29429	NA		003783_GCAT	NA		NA		0	NA	Complete	NA		NA		NA		NA		NA	0	0	NA		0	Illumina	USA	male Yoruba from Ibadan, Nigeria	NA		NA	Nigeria	NA	Ibadan, Nigeria	7.378841	3.895278	NA		NA		NA		NA		NA		NA		NA		Aerobe	NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		36	NA		Male, African	
Eukaryota	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	NA	EUKARYAL	Ailuropoda melanoleuca  	NA		NA		NA		Gi03044	NA	Genome	incomplete	Public	Beijing Genomics Institute, Shenzhen	NA		NA		NA		 	NA	9646	38683	NA		003784_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	China	NA		NA		China	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	
Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	NA	EUKARYAL	Homo sapiens  YanHuang No.1	YanHuang No.1	NA		NA		NA	Gc00891	Gi03045	Genome	Complete and Published	Public	Beijing Genomics Institute, Shenzhen	NA	Wang J	wangj@genomics.org.cn	NA		2008-11-06	Nature 456, 60-5	NA	9606	NA		NA	003785_GCAT	NA		NA		0	NA	Complete	NA		NA		NA		34x	NA		0	0	NA		0	Illumina	China	peripheral venous blood	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		peripheral venous blood	NA	Aerobe	NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		36	NA		NA	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA		BACTERIAL	Ketogulonigenium sp.  WB0104	WB0104	NA		NA		NA	Gc00731	NA	Genome	Complete and Published	Public	State Key Laboratory, CHGB, NCPC	NA	Qi, J	zdsys@vip.sina.com	NA		2006-04-26	Chinese Science Bulletin 51, 941-945	Vitamin C production, Biotechnological	92944	NA		NA	003786_GCAT	NA		NA		0	NA	Complete	NA		NA		NA	Phred-Phrap	NA		NA	2765	2727	1	2	61.7	Sanger	China	provided by North Pharmaceutical Group Corporation	NA		NA		NA	provided by North Pharmaceutical Group Corporation	NA		NA		NA		NA		NA		NA		NA		NA		Facultative	Rod-shaped	NA		Mesophile	NA	7.5 - 8.0	0.8 - 1.0 um	NA		gram-	Free living	NA		NA		NA		Soil	27 - 29	NA	Motile	NA	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	BACTERIAL	Clostridium botulinum E3  Alaska E43	Alaska E43	NA		Clostridium botulinum E3 str. Alaska E43	NA		Gc00797	Gi03046	Genome	Complete and Published	Public	Los Alamos National Laboratory, DOE Joint Genome Institute	NA	Brettin T	brettin@lanl.gov	NA	CLH	2008-05-16	Unpublished 	Human Pathogen, Medical	508767	28855	NA		003788_GCAT	NA		NA	289673	642555125	NC_010723	Complete	NA		NA		NA		NA		NA	3659	3369	1	1	27.4	NA	USA	Salmon eggs associated with a foodborne case of botulism in Alaska	NA		NA	Alaska	NA	Alaska	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Chains, Pairs, Singles	Botulism	Food, Host	37	NA	Motile	Pathogen	Chemoorganotroph
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	BACTERIAL	Clostridium botulinum B  Eklund 17B	Eklund 17B	NA		Clostridium botulinum B str. Eklund 17B	NA		Gc00799	Gi03047	Genome	Complete and Published	Public	Los Alamos National Laboratory, DOE Joint Genome Institute	NA	Brettin T	brettin@lanl.gov	NA	CLL	2008-05-07	Unpublished 	Medical	508765	28857	NA		003789_GCAT	NA		NA	281543	641522618	NC_010674	Complete	NA		NA		NA		NA		NA	3800	3664	1	1	27.5	NA	USA	"Marine sediments taken off the coast of Washington, USA"	NA		NA	USA	NA	Washington, USA	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Chains, Pairs, Singles	None	Marine, Food	37	NA	Motile	Non-Pathogen	Chemoorganotroph
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli C  ATCC 8739	ATCC 8739	NA		Escherichia coli ATCC 8739	ATCC 8739	No	Gc00737	NA	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Ingram L	ingram@ufl.edu	NA	EcolC	2008-03-11	Unpublished 	NA	481805	18083	NA		003790_GCAT	NA		NA		641522623	NC_010468	Complete	NA		NA		NA		NA		NA	4746	4416	1	0	50	NA	USA	NA	Laboratory strain	NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	None	Host	NA		Motile	Non-Pathogen	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli O157:H7  TW14588	TW14588	NA		Escherichia coli O157:H7 str. TW14588	NA		Gi03048	NA	Genome	incomplete	Public	J. Craig Venter Institute, National Food Safety and Toxicology Center	NA	Sutton G	gsutton@jcvi.org	NA		NA	 	Human Pathogen, Medical	502346	28847	NA		003791_GCAT	NA		NA	331756	642979322	NZ_ABKY00000000	Draft	NA		NA		NA		5.34x Sanger, 13.28x 454	NA		5785	0	NA		50	454, Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	Hemorrhagic colitis	Host	NA		Motile	Pathogen	
Bacteria	Verrucomicrobia	NA		NA	Methylacidiphilum	Methylacidiphilum infernorum	BACTERIAL	Methylacidiphilum infernorum  V4	V4	NA		Methylacidiphilum infernorum V4	NA		Gc00812	Gi03053	Genome	Complete and Published	Public	Univ of Hawaii	Univ of Hawaii, DoD	Alam M	alam@hawaii.edu	NA	Minf	2008-05-30	Biol. Direct 3, 26	NA	481448	28995	NA		003803_GCAT	NA		NA	295454	642555138	NC_010794	Complete	NA		3 Kb	NA		Arachne, Seqman II	NA	Glimmer	NA	2287	2521	1	0	45	NA	USA	Hell's Gate geothermal area in New Zealand	NA		NA	New Zealand	NA	Hell's Gate geothermal area in New Zealand	NA		NA		NA		NA		NA		NA		NA		NA		Aerobe	NA		NA	Thermophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Hot spring	NA		NA	Acidophile	Methanotroph
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	BACTERIAL	Streptococcus mutans  NN2025	NN2025	C	NA	Streptococcus mutans NN2025	NA		Gc01074	Gi03049	Genome	Complete and Published	Public	Tokyo Univ	NA	Nakagawa I	ichiro-n.bac@tmd.ac.jp	NA		2009-08-05	BMC Genomics 10, 358	Human Pathogen, Medical	511691	28997	NA		003792_GCAT	NA		NA		0	NA	Complete	Level 6: Finished	NA	1-2Kb, 4-5Kb	NA	pUC18	Phred/Phrap/Consed	12.6x	Metagenome gambler light, Glimmer	NA	2013	1895	1	0	36.8	NA	Japan	clinical serotype c strain isolated in Japan in 2002 from a patient with dental caries	NA		2002	Japan	NA	clinical serotype c strain isolated in Japan in 2002	NA		NA		Homo sapiens	NA		NA		Patient with dental caries	NA		Oral	NA		NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Chains, Pairs	Dental caries, Endocarditis	Host	NA		Nonmotile	Pathogen	
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Soil microbial communities  from Central New Jersey	from Central New Jersey	NA		New Jersey Soil Metagenome	NA		Gm00129	NA	Metagenome	incomplete	Public	Raritan Valley Community College	NA		NA		NA		 	Environmental	410658	20735	NA		003793_GCAT	NA		NA		0	EU491505-EU491510	NA		NA		NA		NA		NA		0	0	NA		0	NA	USA	Campus of Raritan Valley Community College, Somerville, New Jersey	NA		NA	USA	NA	Raritan Valley Community College, Somerville, New Jersey	40.568168	-74.61173	NA		NA		NA		NA		NA		NA		NA		NA		NA		Mesophile	NA		NA		NA		NA		NA		NA		NA	Soil	NA		NA		
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Gut microbiome  of Chicken	of Chicken	NA		Chicken Gut Metagenome	NA		Gm00130	NA	Metagenome	complete	Public	Univ of Illinois at Urbana-Champaign	NA	Dinsdale E	elizabeth_dinsdale@hotmail.com	NA		2008-03-12	Nature 452, 629-32	NA	506600	28959	NA		003794_GCAT	NA		NA		0	NA	Complete	NA		NA		NA		NA		NA	0	0	NA		0	454	USA	microbial community of the chicken cecum in response to Campylobacter jejuni challenge	NA		NA		NA	microbial community of the chicken cecum in response to Campylobacter jejuni challenge	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Gut microbiome  of Bovine	of Bovine	NA		Bovine Gut Metagenome	NA		Gm00131	NA	Metagenome	complete	Public	Univ of Illinois at Urbana-Champaign	NA	Dinsdale E	Elizabeth_dinsdale@hotmail.com	NA		2008-03-12	Nature 452, 629-32	Bioenergy, Biotechnological	506599	28963	NA		003795_GCAT	NA		NA		0	NA	Complete	NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	Bovine gut	NA		NA		NA		NA		NA		NA		NA		NA		NA		Gastrointestinal tract	NA	Rumen	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Gut, Bovine rumen	NA		NA		
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	BACTERIAL	Streptococcus pneumoniae  BS457	BS457	NA		Streptococcus pneumoniae BS457	NA		Gi03050	NA	Genome	incomplete	Public	West Penn Allegheny Health System	NA		NA		NA		 	Human Pathogen, Medical	512768	29067	NA		003796_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	nasopharynx of a child who came down with pneumoniae after participating in a pneumococcal vaccine trial at the Children's Hospital of Pittsburgh	NA		NA	USA	NA	Pittsburgh	NA		NA		Homo sapiens	NA		Child	NA	Patient with pneumonia	NA		Airways	NA	Nasopharynx	NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Pairs, Chains	Pneumonia	Host	NA		Nonmotile	Pathogen	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	BACTERIAL	Streptococcus pneumoniae  BS458	BS458	NA		Streptococcus pneumoniae BS458	NA		Gi03051	NA	Genome	incomplete	Public	West Penn Allegheny Health System	NA		NA		NA		 	Human Pathogen, Medical	512769	29069	NA		003797_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	nasopharynx of a child who came down with pneumoniae after participating in a pneumococcal vaccine trial at the Children's Hospital of Pittsburgh	NA		NA		NA	Pittsburgh	NA		NA		Homo sapiens	NA		Child	NA	Patient with pneumonia	NA		Airways	NA	Nasopharynx	NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Pairs, Chains	Pneumonia	Host	NA		Nonmotile	Pathogen	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	BACTERIAL	Streptococcus pneumoniae  BS397	BS397	NA		Streptococcus pneumoniae BS397	NA		Gi03052	NA	Genome	incomplete	Public	West Penn Allegheny Health System	NA		NA		NA		 	Human Pathogen, Medical	512767	29075	NA		003798_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	NA	USA	nasopharynx of a child who participated in a pneumococcal vaccine trial at the Children's Hospital of Pittsburgh	NA		NA		NA	Pittsburgh	NA		NA		Homo sapiens	NA		Child	NA	Patient with pneumonia	NA		Airways	NA	Nasopharynx	NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Pairs, Chains	Pneumonia	Host	NA		Nonmotile	Pathogen	
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Marine microbial communities  from a Coastal Norwegian Fjord	from a Coastal Norwegian Fjord	under conditions of ocean acidification	NA	Marine Metagenome from Coastal Waters	NA		Gm00132	NA	Metagenome	complete	Public	Plymouth Marine Laboratory	NA	Gilbert JA	jagi@pml.ac.uk	NA		2008-08-22	PLoS ONE 3, e3042	Environmental	408172	28969	NA		003799_GCAT	NA		NA		0	GSE10119	Complete	NA		NA		NA		NA		NA	323161	0	NA		0	454-FLX	United Kingdom	Coastal Norwegian Fjord, Bergen, Norway	NA		2006	Norway	NA	Coastal Norwegian Fjord, Bergen, Norway	60.27	5.22	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Marine	NA		NA		
